serial_number,monthly_income,employment_status,existing_loans,credit_score,loan_purpose,loan_amount_requested,debt_to_income_ratio,repayment_history,defaulted
40,144924,Self-employed,5,784,Car Loan,4347203,0.6880210293701996,Fair,1
41,80548,Student,6,556,Travel,693877,0.2930774236350552,Poor,1
42,110028,Employed,9,774,Medical,641491,0.66,Fair,0
43,165058,Student,8,641,Medical,4340196,0.6640408744169647,Poor,0
44,62779,Self-employed,7,397,Business,2158584,0.18,Fair,0
45,100744,Self-employed,7,762,Business,274578,0.3324120309355881,Good,0
46,141218,Employed,8,607,Business,4680364,0.36,Good,0
47,18245,Self-employed,1,345,Education,341669,0.5070450570504054,Good,1
48,155218,Retired,6,755,Home Improvement,3572816,0.4944015098479637,Poor,0
49,167297,Self-employed,4,459,Medical,4605262,0.36,Fair,1
50,119386,Student,2,520,Travel,1232419,0.2213579175380582,Poor,1
51,194656,Student,5,338,Medical,5197920,0.7106039859469128,Poor,1
52,114129,Student,2,539,Business,3850830,0.3326669875639548,Fair,0
53,149755,Student,0,533,Medical,701651,0.3472972399018632,Poor,0
54,178079,Retired,0,442,Car Loan,1183426,0.1267748144445831,Fair,0
55,111965,Unemployed,3,592,Medical,3355354,0.2208497529176167,Fair,1
56,62157,Employed,2,687,Travel,2313036,0.4106856438142148,Good,1
57,156832,Student,8,540,Debt Consolidation,4097773,0.2811473696526861,Good,0
58,133965,Self-employed,3,817,Car Loan,3745638,0.4697752206544942,Good,1
59,42638,Student,8,624,Car Loan,270100,0.6893885803982591,Fair,1
60,166755,Self-employed,2,518,Medical,1601341,0.2451941757515392,Good,0
61,122692,Self-employed,8,340,Education,3350296,0.65,Fair,0
62,60507,Student,1,771,Business,2098394,0.7245631699995699,Poor,0
63,180724,Retired,4,720,Home Improvement,1121433,0.1290947620943414,Good,1
64,84252,Self-employed,9,422,Home Improvement,4128001,0.09,Fair,0
65,192484,Self-employed,9,651,Debt Consolidation,1669841,0.46,Fair,1
66,93369,Student,3,342,Home Improvement,4527665,0.6408222086809605,Fair,0
67,22151,Self-employed,6,349,Home Improvement,2893649,0.730625270276853,Fair,0
68,50418,Self-employed,3,422,Business,482357,0.2830568735938435,Good,0
69,163789,Student,9,435,Business,960583,0.6657840618955512,Good,1
70,112786,Student,4,344,Education,2346534,0.4826207433788218,Good,1
71,48473,Employed,6,803,Travel,2912898,0.7549012987969671,Fair,0
72,80727,Retired,5,521,Debt Consolidation,3899342,0.35,Poor,0
73,188156,Retired,7,680,Home Improvement,469137,0.307113097725129,Fair,1
74,141272,Self-employed,1,681,Education,1335063,0.8168985089784927,Poor,0
75,102215,Retired,8,511,Debt Consolidation,4458225,0.7606429591700227,Good,0
76,156764,Self-employed,9,465,Car Loan,2796849,0.6472892684433604,Fair,0
77,79286,Employed,6,767,Home Improvement,4640503,0.49,Fair,1
78,123876,Student,2,584,Home Improvement,2565114,0.7518336725166948,Good,0
79,21739,Student,7,732,Business,3192868,0.6603639139865255,Fair,0
80,41064,Student,1,390,Medical,1617977,0.2812279320738686,Poor,0
81,97693,Retired,6,534,Debt Consolidation,103353,0.6549335549119247,Poor,1
82,188084,Employed,2,585,Home Improvement,4353829,0.35,Poor,1
83,32652,Retired,4,678,Debt Consolidation,842111,0.5396330013587768,Fair,1
84,68200,Retired,0,850,Travel,4499285,0.2001235713151055,Fair,0
85,149528,Employed,1,457,Education,4366184,0.4550451705467936,Poor,1
86,76829,Employed,9,321,Education,2731532,0.2002794299338874,Fair,0
87,92632,Employed,1,704,Medical,4632801,0.3545156934874545,Poor,0
88,31421,Employed,4,733,Home Improvement,940776,0.5470527515670751,Good,1
89,82779,Student,9,850,Travel,1580255,0.5162139068800331,Poor,1
90,120886,Unemployed,0,741,Business,2023827,0.7364286926879214,Good,0
91,77426,Unemployed,9,445,Home Improvement,4699375,0.404619043084975,Good,0
92,134846,Employed,3,850,Debt Consolidation,2310636,0.7465587959328384,Good,1
93,138395,Unemployed,1,706,Car Loan,2343497,0.2755829264040175,Poor,0
94,107374,Unemployed,9,555,Education,4906869,0.25,Poor,1
95,103823,Employed,1,675,Debt Consolidation,4167652,0.5959951477165998,Fair,1
96,47255,Unemployed,3,779,Medical,1439162,0.2712917997292909,Fair,1
97,49745,Retired,4,550,Education,5023706,0.1150425604526466,Good,0
98,127795,Self-employed,6,496,Business,5201246,0.1637757264469883,Poor,0
99,107415,Self-employed,5,748,Education,4509140,0.5712286413238082,Fair,1
100,185558,Employed,8,633,Car Loan,1225042,0.5451959534907697,Fair,1
101,97733,Student,1,804,Travel,4060914,0.7,Fair,1
102,138334,Employed,7,826,Home Improvement,4316266,0.1946696443697258,Poor,0
103,111447,Student,8,850,Car Loan,3729783,0.4177668651495204,Fair,1
104,67979,Self-employed,0,543,Travel,2497673,0.5527785872857903,Good,1
105,190054,Employed,4,588,Car Loan,2445891,0.4938100813347628,Poor,0
106,44237,Retired,6,352,Home Improvement,4797556,0.462266104455532,Fair,1
107,199844,Unemployed,8,632,Education,1551784,0.46,Fair,1
108,152257,Student,2,613,Medical,3113840,0.295575168394266,Poor,0
109,70412,Unemployed,0,503,Home Improvement,3436709,0.1708735707738874,Fair,0
110,181801,Unemployed,1,630,Home Improvement,3357764,0.7857747619319604,Fair,0
111,58679,Employed,9,338,Travel,4622882,0.5594404209400354,Good,0
112,143352,Unemployed,1,605,Business,3933641,0.2037690923838299,Poor,1
113,181391,Retired,5,300,Education,5066721,0.7586024759064689,Fair,1
114,70147,Unemployed,2,826,Home Improvement,2925416,0.72,Poor,0
115,170519,Employed,3,312,Medical,2232817,0.7247604480141016,Poor,0
116,143195,Retired,6,811,Debt Consolidation,4888216,0.2032992559308552,Good,0
117,202498,Self-employed,3,372,Education,2796816,0.1316331249425786,Good,0
118,111907,Unemployed,4,639,Business,493086,0.75,Poor,0
119,133293,Employed,7,327,Car Loan,3451901,0.5513053854070057,Good,0
120,31512,Self-employed,0,596,Home Improvement,592770,0.7064736945397307,Good,0
121,62790,Self-employed,1,776,Medical,1711181,0.5877149286010483,Fair,1
122,153379,Student,3,318,Education,2708922,0.4787833097925503,Good,0
123,64574,Retired,6,495,Medical,4090282,0.0795693142108523,Good,1
124,175960,Unemployed,2,510,Medical,1111048,0.6877168728582148,Fair,0
125,68614,Employed,7,416,Travel,3233662,0.8514565994418715,Fair,0
126,93715,Student,0,484,Car Loan,2821167,0.4228004341579233,Poor,1
127,106768,Retired,2,501,Business,261049,0.0741530601615452,Good,1
128,26737,Student,4,620,Education,3604717,0.5451216118613957,Fair,1
129,168001,Retired,9,416,Home Improvement,3554608,0.7107492402333357,Good,0
130,46055,Retired,4,590,Business,4898042,0.12,Poor,0
131,94335,Unemployed,6,535,Home Improvement,3439870,0.7387450695066805,Good,1
132,52999,Retired,9,320,Debt Consolidation,1595852,0.1466779369341434,Good,1
133,101598,Student,2,685,Medical,3661980,0.71,Good,1
134,169241,Retired,4,640,Debt Consolidation,3441343,0.3143024639324617,Fair,0
135,174077,Unemployed,2,622,Travel,1273565,0.436119036008833,Fair,1
136,36596,Unemployed,0,622,Medical,653260,0.6909360857927648,Poor,1
137,62299,Student,0,322,Car Loan,597288,0.53,Good,1
138,19477,Self-employed,5,652,Business,1833194,0.1065650432231095,Poor,0
139,58258,Self-employed,4,846,Home Improvement,1895921,0.76,Poor,0
140,120591,Retired,2,636,Travel,4208461,0.7849863917660755,Fair,1
141,16306,Employed,1,612,Car Loan,4100783,0.61,Good,0
142,171077,Retired,7,491,Home Improvement,958162,0.0608739382215107,Good,0
143,182778,Student,3,696,Business,2503509,0.1069419600247907,Poor,0
144,144695,Student,2,406,Education,4177210,0.59,Good,1
145,115745,Student,3,829,Travel,2354555,0.7238116931082624,Fair,1
146,57928,Student,7,421,Debt Consolidation,5062029,0.5837012766357942,Poor,0
147,84218,Student,5,780,Debt Consolidation,1901531,0.1699382729000513,Poor,0
148,122512,Unemployed,2,767,Home Improvement,1559277,0.53,Fair,1
149,22006,Self-employed,5,323,Home Improvement,1888867,0.12,Fair,1
150,49944,Student,6,412,Home Improvement,3839933,0.2647758936283899,Fair,1
151,71730,Employed,3,415,Travel,651749,0.3030173133868462,Fair,1
152,127078,Employed,4,319,Business,4741833,0.755577604487047,Fair,0
153,171957,Employed,6,503,Education,3521534,0.5085075676135388,Fair,0
154,194169,Employed,4,622,Debt Consolidation,3393205,0.431260436523396,Poor,1
155,127481,Unemployed,0,317,Car Loan,4059580,0.1927289255196164,Good,0
156,202508,Employed,1,640,Medical,275499,0.3624706664052338,Good,0
157,34856,Student,1,489,Travel,1391107,0.224006148495138,Poor,0
158,41382,Retired,0,397,Travel,1512452,0.42,Good,1
159,172222,Employed,5,659,Business,3096214,0.7223677495626022,Good,0
160,144065,Unemployed,5,497,Debt Consolidation,1571140,0.5490579939386415,Poor,0
161,51368,Unemployed,1,506,Education,4606216,0.36,Good,1
162,72851,Employed,2,588,Business,4172857,0.7224443419384436,Good,1
163,99790,Retired,0,535,Car Loan,4313341,0.2418857748970777,Poor,0
164,80886,Employed,9,444,Debt Consolidation,4699359,0.37,Good,0
165,165067,Unemployed,0,568,Business,1709459,0.7646067346896444,Fair,0
166,69935,Self-employed,5,526,Debt Consolidation,4539671,0.19,Poor,0
167,154405,Student,2,585,Debt Consolidation,3259472,0.3532243709610827,Good,0
168,36558,Unemployed,5,622,Travel,452407,0.6307340636557113,Good,0
169,135796,Employed,8,830,Education,3581340,0.3721683563322686,Fair,1
170,30863,Student,5,700,Travel,4544173,0.4604095393637226,Poor,0
171,162525,Employed,1,487,Medical,159001,0.71,Poor,1
172,25002,Employed,2,458,Education,3172291,0.2755998237431161,Good,0
173,112040,Self-employed,6,395,Debt Consolidation,1652352,0.5135252671617238,Fair,1
174,85872,Student,6,395,Business,1959689,0.4840777312312753,Fair,1
175,50954,Student,9,686,Car Loan,3538188,0.13,Fair,0
176,169324,Self-employed,4,476,Education,2151475,0.54,Fair,1
177,188881,Unemployed,4,530,Medical,3443608,0.5364665962724405,Fair,0
178,30914,Employed,8,850,Debt Consolidation,1148392,0.3415199621407501,Fair,0
179,78365,Retired,5,612,Car Loan,1685083,0.3214808490949983,Poor,1
180,148857,Employed,5,437,Education,2861677,0.1166466875402439,Good,1
181,100715,Employed,7,371,Travel,4428946,0.4764170746482972,Good,1
182,89687,Unemployed,7,385,Travel,1314375,0.6813147487325039,Fair,1
183,202526,Employed,4,556,Education,1321051,0.4644223303965236,Poor,1
184,41387,Self-employed,1,612,Education,2681030,0.4119936837163669,Poor,0
185,36430,Self-employed,0,653,Education,616978,0.7339121066720133,Fair,1
186,105758,Student,9,551,Car Loan,5189553,0.2324422238874068,Good,1
187,161377,Retired,2,650,Travel,3545995,0.21,Fair,1
188,174336,Employed,0,674,Business,1766312,0.6395187424870803,Poor,0
189,188226,Employed,7,470,Medical,490782,0.6289329638214832,Fair,1
190,101597,Unemployed,2,577,Medical,3848146,0.34,Good,0
191,87072,Self-employed,7,443,Debt Consolidation,3914012,0.395853031155874,Good,1
192,66972,Retired,4,356,Home Improvement,513688,0.0743753580227955,Poor,1
193,136613,Student,7,798,Business,4396200,0.1893347410743239,Fair,0
194,24623,Self-employed,2,674,Travel,2429045,0.4027930104732896,Fair,0
195,162157,Student,5,360,Debt Consolidation,1483941,0.5703322109041215,Poor,1
196,49971,Unemployed,1,725,Debt Consolidation,4303826,0.6859917626419144,Fair,1
197,45620,Unemployed,3,755,Education,3178138,0.56,Poor,1
198,131553,Employed,1,561,Home Improvement,2270386,0.600361617641954,Fair,1
199,123125,Retired,7,600,Travel,2739288,0.31,Good,1
200,147935,Student,5,343,Home Improvement,4339595,0.6602199600977173,Poor,0
201,78228,Self-employed,5,701,Business,4894665,0.5491619463285604,Fair,1
202,143241,Unemployed,8,574,Home Improvement,1250684,0.2745776129331012,Fair,1
203,156130,Employed,0,557,Debt Consolidation,2754522,0.35,Fair,1
204,75106,Employed,0,850,Home Improvement,1087158,0.5450773177285231,Poor,0
205,177561,Student,2,588,Home Improvement,1473614,0.4080397268222234,Good,1
206,144887,Unemployed,9,431,Medical,3196492,0.36,Fair,0
207,121767,Retired,2,303,Travel,111791,0.0870652717570917,Poor,0
208,102498,Unemployed,8,780,Travel,4075466,0.46,Fair,0
209,25042,Student,3,581,Debt Consolidation,2097629,0.7032318642762944,Good,1
210,69336,Student,7,667,Car Loan,2924628,0.58,Good,0
211,106857,Unemployed,4,850,Home Improvement,3133145,0.5520850190858946,Good,0
212,43650,Student,3,562,Home Improvement,3122797,0.8001767021986964,Poor,1
213,201418,Unemployed,9,850,Education,3561478,0.4166603698983444,Fair,0
214,190894,Self-employed,3,576,Travel,5139506,0.1146265538284025,Poor,1
215,180471,Unemployed,5,750,Home Improvement,2793951,0.7279776654987015,Fair,0
216,36501,Unemployed,6,543,Travel,1299232,0.4555898879545666,Poor,1
217,176538,Student,3,757,Home Improvement,3659494,0.3033772708258462,Fair,0
218,102044,Student,0,625,Medical,320399,0.4717493847090181,Poor,1
219,113758,Employed,6,751,Debt Consolidation,4177838,0.4420277169145192,Fair,0
220,170425,Employed,8,538,Travel,3568713,0.6646487224987154,Poor,1
221,128320,Self-employed,8,780,Business,885205,0.219574311661232,Good,0
222,200729,Employed,2,794,Debt Consolidation,3979533,0.7050105572879173,Poor,1
223,186000,Unemployed,1,335,Education,3940216,0.1606973136999159,Good,0
224,78449,Student,2,822,Debt Consolidation,3254857,0.69,Good,0
225,98660,Employed,8,541,Home Improvement,1721300,0.1728425417262368,Fair,1
226,70034,Employed,8,598,Education,862083,0.0632617947794243,Good,0
227,193600,Self-employed,0,697,Debt Consolidation,4762626,0.1057829260553974,Good,1
228,172396,Self-employed,0,701,Education,2197579,0.2163971903586925,Fair,0
229,165821,Unemployed,1,671,Business,3372220,0.825083756918472,Poor,0
230,76980,Student,7,634,Debt Consolidation,4822292,0.1459954975932817,Poor,0
231,80726,Self-employed,5,713,Travel,3491549,0.73,Good,1
232,156826,Employed,0,788,Travel,2021441,0.27,Poor,1
233,50580,Student,2,363,Car Loan,1432004,0.6697294475296384,Good,1
234,129210,Student,3,493,Home Improvement,2849014,0.0958250773056401,Poor,1
235,145781,Employed,1,815,Education,4691792,0.2089138766313703,Poor,1
236,130573,Self-employed,1,370,Car Loan,363068,0.3189437271826017,Poor,0
237,161621,Employed,4,621,Car Loan,1702933,0.2,Good,0
238,130687,Student,3,325,Medical,2750089,0.1622113402962493,Fair,1
239,125686,Retired,6,316,Education,657646,0.670135377796257,Poor,1
240,37783,Retired,4,776,Car Loan,3070291,0.718355493220648,Poor,0
241,132974,Unemployed,6,590,Medical,3530346,0.1667161517072266,Poor,0
242,171126,Employed,8,326,Car Loan,552969,0.5833078625839045,Good,0
243,194588,Employed,9,517,Home Improvement,1036155,0.28,Fair,1
244,143221,Unemployed,7,543,Business,2947366,0.0587411072926931,Good,0
245,192011,Unemployed,1,508,Medical,388449,0.33,Poor,1
246,186459,Unemployed,0,511,Business,4803462,0.35,Good,0
247,26594,Student,2,421,Education,1194716,0.1383620153532223,Poor,1
248,177488,Employed,0,399,Home Improvement,110244,0.2752287722977,Poor,1
249,21216,Student,3,504,Medical,4341192,0.366199300731145,Good,1
250,61843,Unemployed,0,395,Education,2948558,0.3263325698130205,Poor,1
251,96441,Employed,9,634,Car Loan,2153000,0.0785547917803804,Poor,1
252,50428,Student,2,466,Travel,2796229,0.7,Fair,1
253,135985,Student,6,780,Debt Consolidation,2060073,0.5594899666411282,Good,0
254,68987,Unemployed,9,615,Education,4935302,0.0737056993847199,Good,1
255,182148,Employed,8,575,Business,2263735,0.4547093575708628,Poor,0
256,99525,Unemployed,8,783,Home Improvement,3039872,0.7029668009440273,Poor,1
257,154489,Employed,1,609,Home Improvement,3290584,0.675884334079422,Good,1
258,98225,Retired,6,485,Education,216791,0.462023715491981,Good,1
259,76013,Self-employed,3,637,Car Loan,3035514,0.6249425282529467,Good,0
260,45437,Self-employed,2,621,Debt Consolidation,3632506,0.4694340520002197,Poor,0
261,35629,Self-employed,0,809,Business,1858037,0.4056556287617729,Fair,1
262,180981,Unemployed,4,687,Education,2129063,0.1145629199226336,Fair,1
263,34818,Retired,6,635,Education,3105029,0.3477909671608266,Poor,0
264,113249,Employed,6,325,Travel,3380764,0.6770220610275431,Poor,0
265,127340,Student,3,496,Home Improvement,1792208,0.42,Poor,0
266,59796,Employed,7,562,Business,3200929,0.3199865127582253,Good,0
267,195064,Student,7,385,Debt Consolidation,1888843,0.7379054372814783,Poor,1
268,55406,Employed,5,463,Home Improvement,2784325,0.6770286510200005,Good,0
269,163554,Retired,7,508,Education,4058346,0.733149913234164,Fair,0
270,61163,Student,0,562,Home Improvement,4818384,0.42,Poor,0
271,90711,Unemployed,1,785,Home Improvement,2146317,0.5701914460847574,Poor,1
272,135784,Employed,8,754,Medical,2955601,0.7478766269022528,Good,0
273,166117,Employed,1,587,Home Improvement,3753436,0.6369463163004737,Good,1
274,158077,Student,5,377,Car Loan,55981,0.3977293733675876,Good,0
275,188123,Unemployed,5,549,Home Improvement,1296218,0.65,Fair,1
276,120486,Unemployed,5,582,Car Loan,2627750,0.1819119389901551,Fair,1
277,133496,Retired,7,396,Business,3440351,0.4217765533259987,Poor,1
278,22967,Unemployed,1,692,Home Improvement,247033,0.63,Poor,1
279,24139,Unemployed,2,441,Debt Consolidation,1233459,0.1503852127474755,Good,1
280,109784,Unemployed,7,788,Car Loan,1140378,0.7161168915445281,Fair,0
281,85731,Self-employed,3,786,Car Loan,1706979,0.3604315867319126,Poor,1
282,52011,Retired,6,810,Education,92642,0.73,Good,0
283,82258,Employed,5,308,Business,1921529,0.6770557812953948,Good,1
284,52402,Student,1,507,Home Improvement,4503171,0.3544862060043329,Fair,1
285,165705,Employed,0,330,Travel,1350337,0.1164307830567372,Fair,0
286,37651,Retired,5,318,Debt Consolidation,1079286,0.6568199252249985,Poor,1
287,196449,Student,1,632,Education,612878,0.2957508022588669,Poor,1
288,40398,Retired,8,752,Business,4374271,0.3889357498088943,Good,1
289,123642,Unemployed,4,647,Car Loan,798370,0.7342494845496653,Good,1
290,68236,Student,8,793,Debt Consolidation,2904141,0.3045244382703042,Good,0
291,48305,Unemployed,1,448,Home Improvement,749397,0.6346359168847138,Poor,1
292,124032,Employed,9,581,Travel,4259335,0.6248932514433976,Fair,0
293,40345,Employed,6,523,Medical,2966808,0.3861789859531581,Poor,0
294,79012,Student,2,334,Medical,3546805,0.7834956124831955,Fair,1
295,114083,Student,6,578,Business,3312055,0.6508423467894773,Poor,1
296,190509,Retired,3,452,Travel,287386,0.6659451063281164,Poor,0
297,75820,Retired,9,322,Debt Consolidation,4718099,0.6108506195094163,Fair,0
298,70482,Unemployed,9,561,Education,246120,0.2037184710329091,Poor,1
299,44320,Student,8,343,Debt Consolidation,3605041,0.32,Poor,0
300,75202,Employed,5,576,Travel,2426577,0.4571623223792297,Good,0
301,135952,Retired,1,814,Car Loan,1460827,0.2997903824100831,Fair,0
302,126695,Retired,5,389,Medical,1441677,0.4,Fair,0
303,115199,Employed,4,735,Business,3592824,0.1872184580511132,Good,0
304,156740,Retired,6,749,Home Improvement,1935961,0.2460854118715376,Fair,0
305,65772,Unemployed,7,811,Debt Consolidation,4691226,0.24,Good,1
306,135166,Student,0,795,Medical,2031495,0.3658191752133566,Fair,0
307,52243,Employed,2,716,Education,695667,0.4586694301916253,Fair,1
308,166801,Student,4,475,Business,4882062,0.3693274929851135,Fair,1
309,196408,Retired,9,398,Home Improvement,4590347,0.42,Fair,0
310,40443,Retired,7,648,Debt Consolidation,55824,0.7152150251240169,Good,1
311,146027,Employed,6,521,Education,3662675,0.5031057849440119,Good,0
312,170319,Unemployed,0,512,Home Improvement,4465026,0.1280207664304148,Fair,1
313,126331,Self-employed,4,511,Car Loan,1449262,0.7236907005186606,Poor,0
314,36334,Employed,1,753,Medical,4609123,0.2194437033687014,Good,1
315,158217,Self-employed,1,581,Car Loan,2357287,0.52,Fair,0
316,174509,Self-employed,8,452,Medical,1661726,0.3117026973139568,Good,0
317,26088,Unemployed,1,500,Education,4349514,0.213900897265918,Poor,0
318,47217,Self-employed,8,668,Car Loan,2407395,0.2842345102923899,Poor,0
319,150800,Self-employed,7,722,Medical,2268157,0.2413790988882398,Poor,0
320,179811,Unemployed,1,572,Business,272088,0.7468149346967698,Fair,1
321,69803,Self-employed,2,468,Education,5185929,0.3988472395186909,Fair,1
322,132072,Self-employed,7,328,Medical,3355612,0.5381339051289928,Poor,0
323,176740,Self-employed,4,453,Debt Consolidation,1666196,0.2112191272927487,Good,0
324,169197,Employed,1,489,Medical,4261949,0.428136073699076,Good,0
325,181763,Employed,8,501,Car Loan,1819275,0.3145949086301508,Poor,0
326,82645,Employed,3,385,Business,5069467,0.7579809385046564,Fair,1
327,158862,Unemployed,3,541,Home Improvement,4312385,0.5151099488699018,Good,0
328,143516,Retired,8,598,Home Improvement,1804264,0.2929288757588117,Good,0
329,117511,Self-employed,1,544,Medical,4317716,0.8245796851311504,Good,1
330,160146,Self-employed,6,578,Home Improvement,4803504,0.5636762740163861,Fair,0
331,56424,Unemployed,4,781,Medical,473585,0.63,Poor,1
332,80797,Self-employed,9,738,Business,1423852,0.5471538857483191,Fair,1
333,113300,Employed,4,505,Home Improvement,4363082,0.66,Good,0
334,202251,Retired,0,330,Car Loan,349152,0.1285391758509534,Poor,1
335,125572,Student,3,509,Car Loan,1686705,0.430139147977824,Fair,0
336,21151,Self-employed,5,715,Debt Consolidation,2280369,0.1495412414684395,Poor,0
337,90024,Employed,7,576,Medical,1751839,0.078532029134067,Good,0
338,149753,Student,6,405,Home Improvement,3271746,0.4250531062121984,Fair,0
339,95376,Retired,7,540,Car Loan,4288003,0.7830868741716035,Poor,0
340,179514,Student,2,691,Travel,1312933,0.1369954980197141,Fair,1
341,85782,Employed,2,345,Business,4162800,0.208125333998738,Good,1
342,145755,Student,7,462,Business,1580813,0.3207923301898266,Poor,0
343,195027,Unemployed,6,541,Travel,1671146,0.0885608930108575,Good,0
344,123191,Student,6,348,Travel,1333356,0.0947719021328136,Poor,0
345,159318,Self-employed,9,385,Debt Consolidation,3701052,0.399688629010352,Good,1
346,98136,Self-employed,3,605,Business,2556516,0.15,Good,0
347,34749,Unemployed,7,521,Business,641829,0.4430942131970576,Fair,1
348,195033,Employed,5,445,Home Improvement,524533,0.6422722955125463,Good,0
349,189093,Self-employed,4,432,Medical,1573642,0.2047640428671883,Fair,0
350,81927,Retired,2,444,Education,733713,0.7638387536604416,Good,1
351,212381,Self-employed,7,498,Business,2396718,0.4436141771795772,Good,1
352,159235,Self-employed,5,417,Business,2649724,0.2795123214614683,Good,0
353,186806,Employed,9,654,Education,186931,0.58,Poor,1
354,112037,Student,4,607,Business,4914099,0.38,Fair,1
355,94364,Self-employed,8,771,Home Improvement,2897887,0.6296345553421024,Poor,1
356,167416,Unemployed,4,828,Home Improvement,481221,0.5359754607751933,Fair,1
357,125252,Student,3,359,Education,1186148,0.2041437301088941,Good,0
358,15455,Retired,3,690,Car Loan,2332265,0.5021053227006498,Poor,1
359,89489,Employed,9,532,Business,2062450,0.5348220525640712,Fair,0
360,97068,Retired,5,453,Car Loan,3161267,0.1022822732144148,Good,0
361,178452,Student,0,531,Business,4494633,0.1319408959513019,Fair,1
362,153276,Student,5,651,Medical,3924323,0.7641251499974379,Fair,1
363,146765,Student,3,815,Business,4699081,0.6132563266041114,Good,1
364,170174,Retired,5,339,Home Improvement,4370072,0.3288649516945245,Poor,1
365,57838,Student,4,359,Debt Consolidation,1252816,0.697821264932565,Good,1
366,165390,Retired,3,575,Travel,631258,0.736433715330039,Poor,1
367,135609,Student,0,307,Debt Consolidation,2139472,0.0785310637188602,Fair,1
368,213234,Unemployed,7,375,Debt Consolidation,5154876,0.1724653740002467,Fair,0
369,43415,Student,1,466,Debt Consolidation,4551913,0.6604605860722615,Fair,0
370,183240,Retired,6,670,Travel,1394824,0.714950180328852,Poor,0
371,183019,Self-employed,0,423,Car Loan,2692149,0.555015818179997,Good,0
372,88003,Student,7,769,Travel,4967790,0.0605904688070255,Poor,0
373,21737,Self-employed,3,499,Car Loan,4567376,0.3727011523214327,Fair,1
374,183112,Unemployed,3,600,Travel,2427932,0.15,Fair,0
375,145102,Employed,3,448,Travel,4472138,0.1886053420453622,Good,0
376,70904,Unemployed,4,793,Business,1604195,0.4887330771740162,Poor,1
377,58227,Student,8,328,Car Loan,4479867,0.2419764372056078,Fair,0
378,81121,Self-employed,2,352,Business,4594787,0.1980430164671352,Poor,1
379,74557,Self-employed,3,590,Medical,727163,0.61,Poor,1
380,81203,Retired,0,585,Business,1751214,0.27,Good,0
381,41553,Self-employed,1,791,Debt Consolidation,2603195,0.8103251421785902,Good,0
382,89733,Retired,8,850,Education,3731031,0.2214786810618541,Fair,1
383,15540,Employed,3,760,Education,2032000,0.5125275648681907,Good,1
